SystemLabel,SystemImage,Logo,ReleaseYear,System,Company,Games,PearsonR_Metascore_UserScore,R2_Metascore_UserScore,CountCriticScores,CountUserScores,MeanMetascore,MeanUserScoreX10,MedianMetascore,MedianUserScoreX10,MeanCriticUserDiff,MedianCriticUserDiff,MedianUserScore
3ds,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Nintendo-3DS-AquaOpen.jpg/1024px-Nintendo-3DS-AquaOpen.jpg,https://upload.wikimedia.org/wikipedia/commons/9/96/Nintendo_3DS_%28logo%29.svg,2011,3DS,Nintendo,362,0.68,0.4624,9180,27074,68.4668508287,69.4806629834,71,73,-1.0138121547,-1,7.3
dreamcast,https://upload.wikimedia.org/wikipedia/commons/0/07/Dreamcast-Console-Set.png,https://upload.wikimedia.org/wikipedia/commons/7/7e/Dreamcast_logo.svg,1999,Dreamcast,Sega,92,0.51,0.2601,1282,1912,76.2717391304,79.1739130435,79,81,-2.902173913,-3,8.1
ds,https://upload.wikimedia.org/wikipedia/commons/e/e8/Nintendo-DS-Lite-w-stylus.png,https://upload.wikimedia.org/wikipedia/commons/a/af/Nintendo_DS_Logo.svg,2004,DS,Nintendo,609,0.66,0.4356,13651,18717,66.7865353038,70.6206896552,70,75,-3.8341543514,-4,7.5
gamecube,https://upload.wikimedia.org/wikipedia/commons/2/2b/GameCube-Console-Set.png,https://upload.wikimedia.org/wikipedia/en/e/e6/Nintendo_Gamecube_Logo.svg,2001,Gamecube,Nintendo,392,0.63,0.3969,8442,14099,71.0586734694,75.9158163265,72.5,80,-4.8571428571,-6,8
gba,https://upload.wikimedia.org/wikipedia/commons/7/7d/Nintendo-Game-Boy-Advance-Purple-FL.jpg,https://upload.wikimedia.org/wikipedia/commons/8/8a/Gameboy_advance_logo.svg,2001,Game Boy Advance,Nintendo,328,0.65,0.4225,5014,7554,69.4756097561,76.868902439,72,81,-7.3932926829,-7,8.1
ios,https://upload.wikimedia.org/wikipedia/commons/1/18/IPhone_7_Jet_Black.svg,https://upload.wikimedia.org/wikipedia/commons/4/48/Apple_iOS_new.svg,2007,Iphone and Ipad,Apple,461,0.45,0.2025,4616,11055,77.0477223427,60.8937093275,79,65,16.1540130152,15,6.5
n64,https://upload.wikimedia.org/wikipedia/commons/e/e9/Nintendo-64-wController-L.jpg,https://upload.wikimedia.org/wikipedia/en/0/04/Nintendo_64_Logo.svg,1996,Nintendo 64,Nintendo,42,0.85,0.7225,476,2553,71.1666666667,74.7857142857,76,80,-3.619047619,-3.5,8
pc,https://upload.wikimedia.org/wikipedia/commons/1/1a/Crystal_Project_computer.png,https://upload.wikimedia.org/wikipedia/commons/7/7a/Desktop-PC.svg,N/A,PC,Various,3965,0.58,0.3364,68508,790316,70.1581336696,69.8060529634,72,73,0.3520807062,0,7.3
ps,https://upload.wikimedia.org/wikipedia/commons/3/39/PSX-Console-wController.jpg,https://upload.wikimedia.org/wikipedia/commons/4/4e/Playstation_logo_colour.svg,1994,Playstation,Sony,137,0.68,0.4624,1329,4929,66.9489051095,75.6204379562,69,81,-8.6715328467,-7,8.1
ps2,https://upload.wikimedia.org/wikipedia/commons/3/39/PS2-Versions.png,https://upload.wikimedia.org/wikipedia/commons/7/76/PlayStation_2_logo.svg,2000,Playstation 2,Sony,1337,0.56,0.3136,32291,55893,68.9753178758,76.5474943904,70,80,-7.5721765146,-8,8
ps3,https://upload.wikimedia.org/wikipedia/commons/9/9d/Sony-PlayStation-PS3-SuperSlim-Console-FL.jpg,https://upload.wikimedia.org/wikipedia/commons/6/68/PlayStation_3_Logo_neu.svg,2006,Playstation 3,Sony,1383,0.64,0.4096,37670,203729,70.4808387563,67.5618221258,73,71,2.9190166305,3,7.1
ps4,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/PS4-Console-wDS4.png/1920px-PS4-Console-wDS4.png,https://upload.wikimedia.org/wikipedia/commons/8/87/PlayStation_4_logo_and_wordmark.svg,2013,Playstation 4,Sony,665,0.62,0.3844,17001,173959,70.830075188,66.0646616541,73,69,4.7654135338,4,6.9
psp,https://upload.wikimedia.org/wikipedia/commons/4/46/Psp-1000.jpg,https://upload.wikimedia.org/wikipedia/commons/0/0e/PSP_Logo.svg,2004,PSP,Sony,488,0.5,0.25,11647,14319,69.0922131148,72.2889344262,70,74,-3.1967213115,-4,7.4
vita,https://upload.wikimedia.org/wikipedia/commons/b/b4/PlayStation-Vita-1101-FL.jpg,https://upload.wikimedia.org/wikipedia/commons/d/df/PlayStation_Vita_logo_SVG.svg,2011,PS Vita,Sony,338,0.63,0.3969,6039,20805,71.1627218935,72.0532544379,72,73,-0.8905325444,-1,7.3
wii,https://upload.wikimedia.org/wikipedia/commons/f/f3/Wii-Console.png,https://upload.wikimedia.org/wikipedia/commons/b/bc/Wii.svg,2006,Wii,Nintendo,666,0.69,0.4761,14577,32776,64.8048048048,69.4894894895,67.5,73,-4.6846846847,-5,7.3
wii-u,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Wii_U_Console_and_Gamepad.png/1920px-Wii_U_Console_and_Gamepad.png,https://en.wikipedia.org/wiki/Wii_U#/media/File:WiiU.svg,2012,Wii-U,Nintendo,249,0.79,0.6241,4938,30494,69.016064257,69.2530120482,73,73,-0.2369477912,-1,7.3
xbox,https://upload.wikimedia.org/wikipedia/commons/4/43/Xbox-console.jpg,https://upload.wikimedia.org/wikipedia/en/2/2a/Xbox_original_logo_black.png,2001,Xbox,Microsoft,646,0.59,0.3481,18464,15065,71.2801857585,74.6222910217,74,79,-3.3421052632,-3,7.9
xbox360,https://upload.wikimedia.org/wikipedia/commons/6/67/Microsoft-Xbox-360-E-wController.jpg,https://upload.wikimedia.org/wikipedia/en/0/0c/Xbox_360_full_logo.svg,2005,Xbox 360,Microsoft,1701,0.59,0.3481,56629,212686,68.4497354497,68.1928277484,71,71,0.2569077014,0,7.1
xboxone,https://upload.wikimedia.org/wikipedia/commons/b/bb/Xbox_One_Console_Set.png,https://upload.wikimedia.org/wikipedia/en/1/11/Xbox_One_logo.svg,2013,Xbox One,Microsoft,442,0.53,0.2809,7312,63420,70.6719457014,65.4841628959,73,68,5.1877828054,5,6.8
