Label name,UNHCR Country name,CIA country name,TopoJSON Name
Afghanistan,Afghanistan,Afghanistan,
Albania,Albania,Albania,
Algeria,Algeria,Algeria,
Andorra,Andorra,Andorra,
Angola,Angola,Angola,
Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,
Argentina,Argentina,Argentina,
Armenia,Armenia,Armenia,
Australia,Australia,Australia,
Austria,Austria,Austria,
Azerbaijan,Azerbaijan,Azerbaijan,
Bahamas,Bahamas,"Bahamas, The",
Bahrain,Bahrain,Bahrain,
Bangladesh,Bangladesh,Bangladesh,
Barbados,Barbados,Barbados,
Belarus,Belarus,Belarus,
Belgium,Belgium,Belgium,
Belize,Belize,Belize,
Benin,Benin,Benin,
Bermuda,Bermuda,Bermuda,
Bhutan,Bhutan,Bhutan,
Bolivia,Bolivia (Plurinational State of),Bolivia,"Bolivia, Plurinational State of"
Bosnia and Herzegovina,Bosnia and Herzegovina,Bosnia and Herzegovina,
Botswana,Botswana,Botswana,
Brazil,Brazil,Brazil,
Brunei,Brunei Darussalam,Brunei,Brunei Darussalam
Bulgaria,Bulgaria,Bulgaria,
Burkina Faso,Burkina Faso,Burkina Faso,
Burma,Myanmar,Burma,
Burundi,Burundi,Burundi,
Cabo Verde,Cabo Verde,Cabo Verde,
Cambodia,Cambodia,Cambodia,
Cameroon,Cameroon,Cameroon,
Canada,Canada,Canada,
Cayman Islands,Cayman Islands,Cayman Islands,
Central African Republic,Central African Rep.,Central African Republic,
Chad,Chad,Chad,
Chile,Chile,Chile,
China,China,China,
Colombia,Colombia,Colombia,
Comoros,Comoros,Comoros,
Costa Rica,Costa Rica,Costa Rica,
Cote d'Ivoire,C??te d'Ivoire,Cote d'Ivoire,
Croatia,Croatia,Croatia,
Cuba,Cuba,Cuba,
Cyprus,Cyprus,Cyprus,
Czech Republic,Czech Rep.,Czech Republic,
Democratic Republic of the Congo,Dem. Rep. of the Congo,"Congo, Democratic Republic of the","Congo, the Democratic Republic of the"
Denmark,Denmark,Denmark,
Djibouti,Djibouti,Djibouti,
Dominica,Dominica,Dominica,
Dominican Rep.,Dominican Rep.,Dominican Republic,
Ecuador,Ecuador,Ecuador,
Egypt,Egypt,Egypt,
El Salvador,El Salvador,El Salvador,
Equatorial Guinea,Equatorial Guinea,Equatorial Guinea,
Eritrea,Eritrea,Eritrea,
Estonia,Estonia,Estonia,
Ethiopia,Ethiopia,Ethiopia,
Fiji,Fiji,Fiji,
Finland,Finland,Finland,
France,France,France,
Gabon,Gabon,Gabon,
Gambia,Gambia,"Gambia, The",
Georgia,Georgia,Georgia,
Germany,Germany,Germany,
Ghana,Ghana,Ghana,
Greece,Greece,Greece,
Grenada,Grenada,Grenada,
Guatemala,Guatemala,Guatemala,
Guinea,Guinea,Guinea,
Guinea-Bissau,Guinea-Bissau,Guinea-Bissau,
Guyana,Guyana,Guyana,
Haiti,Haiti,Haiti,
Honduras,Honduras,Honduras,
Hong Kong,"China, Hong Kong SAR",Hong Kong,
Hungary,Hungary,Hungary,
Iceland,Iceland,Iceland,
India,India,India,
Indonesia,Indonesia,Indonesia,
Iran,Iran (Islamic Rep. of),Iran,
Iraq,Iraq,Iraq,
Ireland,Ireland,Ireland,
Israel,Israel,Israel,
Italy,Italy,Italy,
Jamaica,Jamaica,Jamaica,
Japan,Japan,Japan,
Japan,Japan,Japan,
Jordan,Jordan,Jordan,
Kazakhstan,Kazakhstan,Kazakhstan,
Kenya,Kenya,Kenya,
Kiribati,Kiribati,Kiribati,
Kosovo,Serbia and Kosovo (S/RES/1244 (1999)),Kosovo,
Kuwait,Kuwait,Kuwait,
Kyrgyzstan,Kyrgyzstan,Kyrgyzstan,
Laos,Lao People's Dem. Rep.,Laos,Lao People's Democratic Republic
Latvia,Latvia,Latvia,
Lebanon,Lebanon,Lebanon,
Lesotho,Lesotho,Lesotho,
Liberia,Liberia,Liberia,
Libya,Libya,Libya,
Liechtenstein,Liechtenstein,Liechtenstein,
Lithuania,Lithuania,Lithuania,
Luxembourg,Luxembourg,Luxembourg,
Macau,"China, Macao SAR",Macau,
Macedonia,The former Yugoslav Rep. of Macedonia,Macedonia,
Madagascar,Madagascar,Madagascar,
Malawi,Malawi,Malawi,
Malaysia,Malaysia,Malaysia,
Maldives,Maldives,Maldives,
Mali,Mali,Mali,
Malta,Malta,Malta,
Mauritania,Mauritania,Mauritania,
Mauritius,Mauritius,Mauritius,
Mexico,Mexico,Mexico,
Micronesia,Micronesia (Federated States of),Micronesia,"Micronesia, Federated States of"
Monaco,Monaco,Monaco,
Mongolia,Mongolia,Mongolia,
Montenegro,Montenegro,Montenegro,
Morocco,Morocco,Morocco,
Mozambique,Mozambique,Mozambique,
Myanmar,Myanmar,Myanmar,
Namibia,Namibia,Namibia,
Nauru,Nauru,Nauru,
Nepal,Nepal,Nepal,
Netherlands,Netherlands,Netherlands,
New Caledonia,New Caledonia,New Caledonia,
New Zealand,New Zealand,New Zealand,
Nicaragua,Nicaragua,Nicaragua,
Niger,Niger,Niger,
Nigeria,Nigeria,Nigeria,
North Korea,Dem. People's Rep. of Korea,"Korea, North","Korea, Democratic People's Republic of"
Norway,Norway,Norway,
Oman,Oman,Oman,
Pakistan,Pakistan,Pakistan,
Panama,Panama,Panama,
Papua New Guinea,Papua New Guinea,Papua New Guinea,
Paraguay,Paraguay,Paraguay,
Peru,Peru,Peru,
Philippines,Philippines,Philippines,
Poland,Poland,Poland,
Portugal,Portugal,Portugal,
Puerto Rico,Puerto Rico,Puerto Rico,
Qatar,Qatar,Qatar,
Republic of the Congo,Congo,"Congo, Republic of the",Congo
Romania,Romania,Romania,
Russia,Russian Federation,Russia,
Rwanda,Rwanda,Rwanda,
Saint Kitts and Nevis,Saint Kitts and Nevis,Saint Kitts and Nevis,
Saint Lucia,Saint Lucia,Saint Lucia,
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,
Samoa,Samoa,Samoa,
San Marino,San Marino,San Marino,
Sao Tome and Principe,Sao Tome and Principe,Sao Tome and Principe,
Saudi Arabia,Saudi Arabia,Saudi Arabia,
Senegal,Senegal,Senegal,
Serbia,Serbia and Kosovo (S/RES/1244 (1999)),Serbia,
Seychelles,Seychelles,Seychelles,
Sierra Leone,Sierra Leone,Sierra Leone,
Singapore,Singapore,Singapore,
Slovakia,Slovakia,Slovakia,
Slovenia,Slovenia,Slovenia,
Solomon Islands,Solomon Islands,Solomon Islands,
Somalia,Somalia,Somalia,
South Africa,South Africa,South Africa,
South Korea,Rep. of Korea,"Korea, South","Korea, Republic of"
South Sudan,South Sudan,South Sudan,
Spain,Spain,Spain,
Sri Lanka,Sri Lanka,Sri Lanka,
Sudan,Sudan,Sudan,
Suriname,Suriname,Suriname,
Swaziland,Swaziland,Swaziland,
Sweden,Sweden,Sweden,
Switzerland,Switzerland,Switzerland,
Syria,Syrian Arab Rep.,Syria,Syrian Arab Republic
Tajikistan,Tajikistan,Tajikistan,
Tanzania,United Rep. of Tanzania,Tanzania,
Thailand,Thailand,Thailand,
Timor-Leste,Timor-Leste,Timor-Leste,
Togo,Togo,Togo,
Tonga,Tonga,Tonga,
Trinidad and Tobago,Trinidad and Tobago,Trinidad and Tobago,
Tunisia,Tunisia,Tunisia,
Turkey,Turkey,Turkey,
Turkey,Turkey,Turkey,
Turkmenistan,Turkmenistan,Turkmenistan,
Turks and Caicos Islands,Turks and Caicos Islands,Turks and Caicos Islands,
Tuvalu,Tuvalu,Tuvalu,
Uganda,Uganda,Uganda,
Ukraine,Ukraine,Ukraine,
United Arab Emirates,United Arab Emirates,United Arab Emirates,
United Kingdom,United Kingdom of Great Britain and Northern Ireland,United Kingdom,
United States,USA (EOIR),United States,
United States,USA (INS/DHS),United States,
United States,United States of America,United States,
Uruguay,Uruguay,Uruguay,
Uzbekistan,Uzbekistan,Uzbekistan,
Venezuela,Venezuela (Bolivarian Republic of),Venezuela,
Vietnam,Viet Nam,Vietnam,
Western Sahara,Western Sahara,Western Sahara,
Yemen,Yemen,Yemen,
Zambia,Zambia,Zambia,
Zimbabwe,Zimbabwe,Zimbabwe,
Palestine,Palestinian,,"Palestine, State of"
,Stateless,,
,Tibetan,,
,Various/unknown,,
,Rep. of Moldova,Moldova,"Moldova, Republic of"
